plate	well	clone_id	measure_env	evolution_env	replicate	lagtime	max_growth_death_rate	time_to_stationary
A1_1	E7	21	bact	bact_pred	C	15:45:54	4.19E-04	23:19:15
A1_1	F7	22	bact	bact_pred	C	06:05:18	1.30E-03	10:22:03
A1_1	G7	23	bact	bact_pred	C	06:06:55	1.28E-03	10:26:18
A1_1	H7	24	bact	bact_pred	C	11:28:36	7.19E-04	18:35:16
A1_1	A8	25	bact	bact_pred	C	20:21:11	4.97E-04	02:09:53
A1_1	B8	26	bact	bact_pred	C	18:36:45	4.89E-04	01:02:05
A1_1	C8	27	bact	bact_pred	C	18:25:36	4.77E-04	00:40:37
A1_1	D8	28	bact	bact_pred	C	19:07:57	4.79E-04	01:14:10
A1_1	E8	29	bact	bact_pred	C	05:39:07	1.26E-03	10:26:42
A1_1	F8	30	bact	bact_pred	C	11:07:12	7.52E-04	18:06:12
A1_1	G8	31	bact	bact_pred	C	11:17:40	-6.99E-04	07:38:34
A1_1	H8	32	bact	bact_pred	C	18:54:20	3.91E-04	23:21:16
A1_1	A9	1	bact	bact_strep	C	08:36:26	2.08E-03	11:56:45
A1_1	B9	2	bact	bact_strep	C	09:34:34	9.59E-04	15:01:42
A1_1	C9	3	bact	bact_strep	C	09:28:52	8.85E-04	15:06:16
A1_1	D9	4	bact	bact_strep	C	09:15:58	9.30E-04	14:52:19
A1_1	E9	5	bact	bact_strep	C	06:54:02	1.29E-03	11:42:19
A1_1	F9	6	bact	bact_strep	C	09:44:18	1.80E-03	13:23:36
A1_1	G9	7	bact	bact_strep	C	10:03:26	1.74E-03	13:58:19
A1_1	H9	8	bact	bact_strep	C	09:56:34	8.82E-04	14:36:14
A1_1	A10	9	bact	bact_strep	C	11:00:36	4.96E-04	18:50:21
A1_1	B10	10	bact	bact_strep	C	06:24:00	1.28E-03	10:37:05
A1_1	C10	11	bact	bact_strep	C	09:34:20	9.26E-04	15:14:41
A1_1	D10	12	bact	bact_strep	C	09:49:26	1.74E-03	13:39:22
A1_1	E10	13	bact	bact_strep	C	12:52:32	6.57E-04	19:58:30
A1_1	F10	14	bact	bact_strep	C	06:15:51	1.30E-03	10:17:43
A1_1	G10	15	bact	bact_strep	C	09:44:41	8.37E-04	15:45:42
A1_1	H10	16	bact	bact_strep	C	09:24:50	8.84E-04	14:07:22
A1_1	A11	17	bact	bact_strep	C	07:35:42	1.97E-03	11:17:11
A1_1	B11	18	bact	bact_strep	C	09:52:11	9.10E-04	15:30:46
A1_1	C11	19	bact	bact_strep	C	22:42:51	4.30E-03	01:28:32
A1_1	D11	20	bact	bact_strep	C	06:09:30	1.31E-03	10:22:34
A1_1	E11	21	bact	bact_strep	C	10:34:25	1.53E-03	14:29:56
A1_1	F11	22	bact	bact_strep	C	09:36:28	9.21E-04	15:07:55
A1_1	G11	23	bact	bact_strep	C	06:24:19	1.30E-03	10:31:39
A1_1	H11	24	bact	bact_strep	C	06:44:49	1.39E-03	10:18:52
A1_1	A12	25	bact	bact_strep	C	06:00:16	1.28E-03	10:13:38
A1_1	B12	26	bact	bact_strep	C	05:51:18	1.30E-03	10:25:17
A1_1	C12	27	bact	bact_strep	C	09:23:29	8.61E-04	15:15:52
A1_1	D12	28	bact	bact_strep	C	06:24:58	1.29E-03	10:28:48
A1_1	E12	29	bact	bact_strep	C	07:30:05	1.23E-03	11:50:06
A1_1	F12	30	bact	bact_strep	C	06:29:52	1.30E-03	10:41:39
A1_1	G12	31	bact	bact_strep	C	06:07:27	1.34E-03	10:39:44
A1_1	H12	32	bact	bact_strep	C	08:17:38	6.99E-04	15:08:40
A1_2	A1	1	bact_pred	bact	D	09:42:45	2.68E-03	12:14:05
A1_2	B1	2	bact_pred	bact	D	16:04:54	-3.39E-03	13:48:49
A1_2	C1	3	bact_pred	bact	D	10:45:16	3.20E-03	13:33:46
A1_2	D1	4	bact_pred	bact	D	09:22:12	1.33E-03	14:27:22
A1_2	E1	5	bact_pred	bact	D	17:06:44	-5.10E-03	14:57:56
A1_2	F1	6	bact_pred	bact	D	07:20:53	9.55E-04	14:01:03
A1_2	G1	7	bact_pred	bact	D	09:29:33	2.67E-03	12:00:15
A1_2	H1	8	bact_pred	bact	D	37:17:40	-6.57E-03	34:47:35
A1_2	A2	9	bact_pred	bact	D	16:42:33	-3.07E-03	14:14:11
A1_2	B2	10	bact_pred	bact	D	10:28:14	2.34E-03	13:40:22
A1_2	C2	11	bact_pred	bact	D	16:38:13	-3.30E-03	14:17:52
A1_2	D2	12	bact_pred	bact	D	06:34:58	1.12E-03	10:34:14
A1_2	E2	13	bact_pred	bact	D	09:07:11	9.61E-04	14:33:20
A1_2	F2	14	bact_pred	bact	D	17:02:52	-2.73E-03	14:38:49
A1_2	G2	15	bact_pred	bact	D	16:04:16	-3.24E-03	13:47:04
A1_2	H2	16	bact_pred	bact	D	11:29:19	7.73E-04	17:02:54
A1_2	A3	17	bact_pred	bact	D	10:06:20	2.22E-03	13:28:07
A1_2	B3	18	bact_pred	bact	D	10:00:17	2.33E-03	13:09:25
A1_2	C3	19	bact_pred	bact	D	08:22:22	4.37E-03	12:46:03
A1_2	D3	20	bact_pred	bact	D	06:41:08	1.07E-03	11:14:02
A1_2	E3	21	bact_pred	bact	D	07:56:52	9.46E-04	13:30:18
A1_2	F3	22	bact_pred	bact	D	08:53:18	1.70E-03	11:36:38
A1_2	G3	23	bact_pred	bact	D	08:23:21	1.11E-03	13:34:40
A1_2	H3	24	bact_pred	bact	D	16:53:48	-3.16E-03	14:30:29
A1_2	A4	25	bact_pred	bact	D	08:45:28	2.15E-03	13:10:32
A1_2	B4	26	bact_pred	bact	D	30:06:05	-2.45E-03	26:13:40
A1_2	C4	27	bact_pred	bact	D	10:05:52	2.53E-03	13:19:45
A1_2	D4	28	bact_pred	bact	D	17:16:58	-3.31E-03	15:04:26
A1_2	E4	29	bact_pred	bact	D	08:19:47	1.01E-03	13:57:57
A1_2	F4	30	bact_pred	bact	D	10:13:56	2.17E-03	13:18:11
A1_2	G4	31	bact_pred	bact	D	08:24:49	8.81E-04	14:21:41
A1_2	H4	32	bact_pred	bact	D	08:55:27	1.02E-03	13:09:03
A1_2	A5	1	bact_pred	bact_pred	C	06:32:29	1.14E-03	10:14:15
A1_2	B5	2	bact_pred	bact_pred	C	08:26:27	2.65E-03	14:03:11
A1_2	C5	3	bact_pred	bact_pred	C	06:43:33	1.23E-03	10:18:53
A1_2	D5	4	bact_pred	bact_pred	C	10:43:53	3.86E-03	14:32:04
A1_2	E5	5	bact_pred	bact_pred	C	10:17:25	3.64E-03	15:08:58
A1_2	F5	6	bact_pred	bact_pred	C	06:55:30	1.12E-03	11:24:41
A1_2	G5	7	bact_pred	bact_pred	C	16:27:40	3.99E-03	19:00:41
A1_2	H5	8	bact_pred	bact_pred	C	06:50:27	1.21E-03	10:43:17
A1_2	A6	9	bact_pred	bact_pred	C	06:02:27	9.31E-04	10:46:30
A1_2	B6	10	bact_pred	bact_pred	C	08:50:57	2.83E-03	14:11:35
A1_2	C6	11	bact_pred	bact_pred	C	09:41:04	2.90E-03	14:29:44
A1_2	D6	12	bact_pred	bact_pred	C	12:26:44	6.10E-03	14:48:48
A1_2	E6	13	bact_pred	bact_pred	C	11:17:30	4.12E-03	14:26:43
A1_2	F6	14	bact_pred	bact_pred	C	16:37:39	-2.61E-03	14:20:47
A1_2	G6	15	bact_pred	bact_pred	C	08:37:37	2.37E-03	14:18:39
A1_2	H6	16	bact_pred	bact_pred	C	06:30:51	1.23E-03	10:25:09
A1_2	A7	17	bact_pred	bact_pred	C	15:26:31	3.38E-03	19:03:33
A1_2	B7	18	bact_pred	bact_pred	C	11:23:18	3.75E-03	15:07:35
A1_2	C7	19	bact_pred	bact_pred	C	11:48:19	5.40E-03	14:34:40
A1_2	D7	20	bact_pred	bact_pred	C	16:10:19	-3.34E-03	13:49:31
A1_2	E7	21	bact_pred	bact_pred	C	11:14:42	1.99E-03	14:27:42
A1_2	F7	22	bact_pred	bact_pred	C	06:25:09	1.09E-03	10:14:25
A1_2	G7	23	bact_pred	bact_pred	C	06:26:06	1.18E-03	10:08:52
A1_2	H7	24	bact_pred	bact_pred	C	10:11:00	9.52E-04	16:12:27
A1_2	A8	25	bact_pred	bact_pred	C	12:30:51	6.42E-04	15:31:25
A1_2	B8	26	bact_pred	bact_pred	C	13:22:20	-2.81E-03	11:39:01
A1_2	C8	27	bact_pred	bact_pred	C	17:58:32	-3.12E-03	15:30:04
A1_2	D8	28	bact_pred	bact_pred	C	18:12:50	-3.52E-03	15:29:11
A1_2	E8	29	bact_pred	bact_pred	C	05:58:01	1.11E-03	10:03:13
A1_2	F8	30	bact_pred	bact_pred	C	11:13:59	3.74E-03	14:58:59
A1_2	G8	31	bact_pred	bact_pred	C	09:42:54	2.37E-03	12:43:25
A1_2	H8	32	bact_pred	bact_pred	C	23:34:49	8.57E-04	28:36:40
A1_2	A9	1	bact_pred	bact_strep	C	08:43:01	1.29E-03	13:03:42
A1_2	B9	2	bact_pred	bact_strep	C	16:13:31	5.35E-03	18:40:28
A1_2	C9	3	bact_pred	bact_strep	C	09:06:21	2.42E-03	11:06:39
A1_2	D9	4	bact_pred	bact_strep	C	07:57:23	2.35E-03	13:52:09
A1_2	E9	5	bact_pred	bact_strep	C	08:24:40	1.49E-03	12:19:40
A1_2	F9	6	bact_pred	bact_strep	C	09:43:44	1.67E-03	13:29:54
A1_2	G9	7	bact_pred	bact_strep	C	09:28:27	1.54E-03	13:06:54
A1_2	H9	8	bact_pred	bact_strep	C	10:21:50	7.84E-04	16:37:33
A1_2	A10	9	bact_pred	bact_strep	C	09:28:59	2.94E-03	12:59:09
A1_2	B10	10	bact_pred	bact_strep	C	07:05:44	1.29E-03	11:10:12
A1_2	C10	11	bact_pred	bact_strep	C	11:20:58	3.38E-03	14:59:44
A1_2	D10	12	bact_pred	bact_strep	C	09:41:51	1.46E-03	13:16:07
A1_2	E10	13	bact_pred	bact_strep	C	18:11:07	-2.04E-03	14:47:29
A1_2	F10	14	bact_pred	bact_strep	C	06:46:16	1.17E-03	10:24:58
A1_2	G10	15	bact_pred	bact_strep	C	12:39:38	3.07E-03	18:23:23
A1_2	H10	16	bact_pred	bact_strep	C	09:26:07	2.59E-03	11:20:23
A1_2	A11	17	bact_pred	bact_strep	C	08:31:45	2.09E-03	12:13:52
A1_2	B11	18	bact_pred	bact_strep	C	15:39:56	5.59E-03	18:10:20
A1_2	C11	19	bact_pred	bact_strep	C	17:00:52	-3.87E-03	14:40:08
A1_2	D11	20	bact_pred	bact_strep	C	06:24:13	1.19E-03	10:35:53
A1_2	E11	21	bact_pred	bact_strep	C	10:11:08	1.52E-03	13:25:41
A1_2	F11	22	bact_pred	bact_strep	C	16:41:32	5.00E-03	19:23:22
A1_2	G11	23	bact_pred	bact_strep	C	06:45:07	1.22E-03	10:37:38
A1_2	H11	24	bact_pred	bact_strep	C	06:48:35	1.14E-03	10:41:47
A1_2	A12	25	bact_pred	bact_strep	C	05:52:23	1.01E-03	10:56:52
A1_2	B12	26	bact_pred	bact_strep	C	25:29:57	-2.28E-03	23:32:13
A1_2	C12	27	bact_pred	bact_strep	C	11:24:36	4.07E-03	13:24:44
A1_2	D12	28	bact_pred	bact_strep	C	07:07:20	1.23E-03	10:58:57
A1_2	E12	29	bact_pred	bact_strep	C	07:54:05	1.59E-03	11:31:06
A1_2	F12	30	bact_pred	bact_strep	C	37:13:55	-6.99E-03	35:21:42
A1_2	G12	31	bact_pred	bact_strep	C	06:19:40	1.21E-03	10:35:38
A1_2	H12	32	bact_pred	bact_strep	C	10:03:02	8.82E-04	15:49:32
A1_3	A1	1	bact_strep	bact	D	7.11E-06	04:04:28
A1_3	B1	2	bact_strep	bact	D	16:58:06	6.87E-04	24:21:10
A1_3	C1	3	bact_strep	bact	D	01:05:36	4.75E-06	06:36:52
A1_3	D1	4	bact_strep	bact	D	12:46:19	5.18E-04	20:31:57
A1_3	E1	5	bact_strep	bact	D	17:05:08	8.10E-04	29:20:16
A1_3	F1	6	bact_strep	bact	D	1.95E-05	02:40:58
A1_3	G1	7	bact_strep	bact	D	3.04E-06	07:46:45
A1_3	H1	8	bact_strep	bact	D	00:35:11	9.61E-06	03:29:21
A1_3	A2	9	bact_strep	bact	D	05:44:32	3.09E-05	07:19:10
A1_3	B2	10	bact_strep	bact	D	02:25:16	4.32E-06	04:31:46
A1_3	C2	11	bact_strep	bact	D	17:41:44	7.03E-04	25:34:46
A1_3	D2	12	bact_strep	bact	D	06:24:26	1.22E-03	10:41:26
A1_3	E2	13	bact_strep	bact	D	12:40:34	4.57E-04	20:44:03
A1_3	F2	14	bact_strep	bact	D	28:56:07	5.49E-04	37:38:15
A1_3	G2	15	bact_strep	bact	D	15:54:31	5.40E-04	24:14:47
A1_3	H2	16	bact_strep	bact	D	11:41:10	6.03E-04	17:34:03
A1_3	A3	17	bact_strep	bact	D	14:55:45	-1.74E-05	12:50:40
A1_3	B3	18	bact_strep	bact	D	09:27:52	3.21E-06	14:38:59
A1_3	C3	19	bact_strep	bact	D	04:07:25	1.03E-05	07:12:09
A1_3	D3	20	bact_strep	bact	D	06:23:14	1.19E-03	10:37:57
A1_3	E3	21	bact_strep	bact	D	02:54:05	6.29E-06	05:56:31
A1_3	F3	22	bact_strep	bact	D	15:41:18	1.05E-05	19:22:10
A1_3	G3	23	bact_strep	bact	D	28:00:58	3.07E-06	38:13:03
A1_3	H3	24	bact_strep	bact	D	24:41:48	4.68E-04	30:42:25
A1_3	A4	25	bact_strep	bact	D	10:43:04	4.53E-04	18:42:17
A1_3	B4	26	bact_strep	bact	D	10:12:20	4.56E-04	18:08:01
A1_3	C4	27	bact_strep	bact	D	15:42:50	4.51E-04	23:34:18
A1_3	D4	28	bact_strep	bact	D	17:26:27	5.38E-04	26:22:42
A1_3	E4	29	bact_strep	bact	D	19:30:42	6.49E-04	28:32:18
A1_3	F4	30	bact_strep	bact	D	06:32:02	2.50E-06	10:13:24
A1_3	G4	31	bact_strep	bact	D	07:20:56	2.36E-06	16:46:35
A1_3	H4	32	bact_strep	bact	D	08:31:39	5.39E-06	14:20:16
A1_3	A5	1	bact_strep	bact_pred	C	06:12:33	1.21E-03	10:30:14
A1_3	B5	2	bact_strep	bact_pred	C	13:28:30	5.34E-04	21:43:58
A1_3	C5	3	bact_strep	bact_pred	C	06:13:13	1.22E-03	10:26:35
A1_3	D5	4	bact_strep	bact_pred	C	13:08:20	1.03E-03	18:28:50
A1_3	E5	5	bact_strep	bact_pred	C	11:37:41	3.82E-06	15:29:42
A1_3	F5	6	bact_strep	bact_pred	C	06:41:12	1.22E-03	10:58:12
A1_3	G5	7	bact_strep	bact_pred	C	13:58:02	1.01E-03	18:43:49
A1_3	H5	8	bact_strep	bact_pred	C	06:30:06	1.29E-03	10:10:19
A1_3	A6	9	bact_strep	bact_pred	C	06:05:52	1.19E-03	10:23:39
A1_3	B6	10	bact_strep	bact_pred	C	13:51:53	7.93E-04	19:44:30
A1_3	C6	11	bact_strep	bact_pred	C	12:48:27	1.01E-03	17:47:23
A1_3	D6	12	bact_strep	bact_pred	C	12:07:14	8.76E-04	18:01:43
A1_3	E6	13	bact_strep	bact_pred	C	13:02:09	1.03E-03	18:19:43
A1_3	F6	14	bact_strep	bact_pred	C	18:17:41	6.67E-04	27:53:56
A1_3	G6	15	bact_strep	bact_pred	C	13:42:45	8.05E-04	19:50:28
A1_3	H6	16	bact_strep	bact_pred	C	06:29:48	1.33E-03	10:46:25
A1_3	A7	17	bact_strep	bact_pred	C	13:05:28	1.13E-03	17:31:04
A1_3	B7	18	bact_strep	bact_pred	C	13:05:04	1.02E-03	18:30:49
A1_3	C7	19	bact_strep	bact_pred	C	12:47:23	9.68E-04	18:14:40
A1_3	D7	20	bact_strep	bact_pred	C	15:56:21	3.85E-04	25:13:28
A1_3	E7	21	bact_strep	bact_pred	C	16:49:51	4.98E-04	24:33:05
A1_3	F7	22	bact_strep	bact_pred	C	05:47:32	1.41E-03	10:35:59
A1_3	G7	23	bact_strep	bact_pred	C	06:09:37	1.20E-03	10:37:57
A1_3	H7	24	bact_strep	bact_pred	C	08:30:33	6.61E-04	15:23:27
A1_3	A8	25	bact_strep	bact_pred	C	19:53:24	3.99E-04	29:43:20
A1_3	B8	26	bact_strep	bact_pred	C	40:36:38	-6.86E-04	34:55:36
A1_3	C8	27	bact_strep	bact_pred	C	19:19:15	5.05E-04	26:49:19
A1_3	D8	28	bact_strep	bact_pred	C	18:44:51	4.01E-04	27:45:24
A1_3	E8	29	bact_strep	bact_pred	C	05:58:39	1.21E-03	10:52:47
A1_3	F8	30	bact_strep	bact_pred	C	12:14:58	9.22E-04	17:42:07
A1_3	G8	31	bact_strep	bact_pred	C	20:04:34	4.86E-04	27:06:00
A1_3	H8	32	bact_strep	bact_pred	C	19:05:43	4.61E-04	23:29:01
A1_3	A9	1	bact_strep	bact_strep	C	08:42:16	2.39E-03	12:38:21
A1_3	B9	2	bact_strep	bact_strep	C	10:22:19	9.67E-04	15:57:32
A1_3	C9	3	bact_strep	bact_strep	C	10:01:11	9.48E-04	15:28:29
A1_3	D9	4	bact_strep	bact_strep	C	09:08:17	8.30E-04	15:15:14
A1_3	E9	5	bact_strep	bact_strep	C	07:26:54	1.50E-03	12:15:44
A1_3	F9	6	bact_strep	bact_strep	C	10:03:25	1.55E-03	14:28:28
A1_3	G9	7	bact_strep	bact_strep	C	10:18:35	1.66E-03	14:20:11
A1_3	H9	8	bact_strep	bact_strep	C	10:14:03	8.37E-04	16:10:04
A1_3	A10	9	bact_strep	bact_strep	C	10:46:45	4.54E-04	18:47:59
A1_3	B10	10	bact_strep	bact_strep	C	06:21:55	1.26E-03	10:35:38
A1_3	C10	11	bact_strep	bact_strep	C	09:30:33	9.44E-04	15:15:49
A1_3	D10	12	bact_strep	bact_strep	C	10:04:38	1.75E-03	13:58:26
A1_3	E10	13	bact_strep	bact_strep	C	13:03:58	6.20E-04	22:21:19
A1_3	F10	14	bact_strep	bact_strep	C	05:45:46	1.23E-03	10:06:32
A1_3	G10	15	bact_strep	bact_strep	C	09:05:02	6.99E-04	15:28:35
A1_3	H10	16	bact_strep	bact_strep	C	09:42:13	8.84E-04	15:23:02
A1_3	A11	17	bact_strep	bact_strep	C	08:08:50	1.99E-03	11:51:05
A1_3	B11	18	bact_strep	bact_strep	C	10:12:24	9.29E-04	15:55:10
A1_3	C11	19	bact_strep	bact_strep	C	22:59:20	4.64E-03	26:15:46
A1_3	D11	20	bact_strep	bact_strep	C	06:24:01	1.36E-03	10:28:55
A1_3	E11	21	bact_strep	bact_strep	C	10:47:38	1.58E-03	14:54:53
A1_3	F11	22	bact_strep	bact_strep	C	09:46:56	8.52E-04	15:49:42
A1_3	G11	23	bact_strep	bact_strep	C	06:35:12	1.33E-03	10:40:21
A1_3	H11	24	bact_strep	bact_strep	C	06:37:42	1.30E-03	10:36:28
A1_3	A12	25	bact_strep	bact_strep	C	06:00:16	1.31E-03	10:15:27
A1_3	B12	26	bact_strep	bact_strep	C	05:54:53	1.24E-03	10:24:41
A1_3	C12	27	bact_strep	bact_strep	C	09:33:40	8.98E-04	15:23:27
A1_3	D12	28	bact_strep	bact_strep	C	06:30:21	1.26E-03	10:46:40
A1_3	E12	29	bact_strep	bact_strep	C	07:37:26	1.20E-03	12:03:03
A1_3	F12	30	bact_strep	bact_strep	C	06:14:11	1.28E-03	10:28:06
A1_3	G12	31	bact_strep	bact_strep	C	06:13:59	1.34E-03	10:53:35
A1_3	H12	32	bact_strep	bact_strep	C	10:08:01	8.43E-04	16:04:41
A1_4	A1	1	bact_pred_strep	bact	D	05:28:11	2.28E-05	09:59:15
A1_4	B1	2	bact_pred_strep	bact	D	41:52:51	1.99E-03	46:26:40
A1_4	C1	3	bact_pred_strep	bact	D	24:44:54	-3.79E-05	21:04:19
A1_4	D1	4	bact_pred_strep	bact	D	12:58:32	1.54E-04	23:22:00
A1_4	E1	5	bact_pred_strep	bact	D	27:22:53	1.29E-03	30:26:33
A1_4	F1	6	bact_pred_strep	bact	D	16:23:13	-3.94E-05	13:35:20
A1_4	G1	7	bact_pred_strep	bact	D	34:15:34	-2.45E-04	35:04:04
A1_4	H1	8	bact_pred_strep	bact	D	00:07:53	2.09E-04	03:37:55
A1_4	A2	9	bact_pred_strep	bact	D	34:09:18	5.21E-05	37:19:02
A1_4	B2	10	bact_pred_strep	bact	D	35:10:33	-9.90E-05	34:13:19
A1_4	C2	11	bact_pred_strep	bact	D	35:08:43	2.05E-03	40:58:01
A1_4	D2	12	bact_pred_strep	bact	D	06:49:09	1.13E-03	10:57:23
A1_4	E2	13	bact_pred_strep	bact	D	40:59:11	5.22E-04	46:40:57
A1_4	F2	14	bact_pred_strep	bact	D	15:59:45	-5.64E-05	12:49:25
A1_4	G2	15	bact_pred_strep	bact	D	39:51:05	2.58E-03	43:07:27
A1_4	H2	16	bact_pred_strep	bact	D	12:09:29	3.80E-04	18:22:31
A1_4	A3	17	bact_pred_strep	bact	D	42:15:51	3.36E-03	46:34:06
A1_4	B3	18	bact_pred_strep	bact	D	35:26:09	-1.37E-04	34:45:02
A1_4	C3	19	bact_pred_strep	bact	D	26:59:35	-2.80E-05	23:04:24
A1_4	D3	20	bact_pred_strep	bact	D	23:20:05	1.15E-03	27:44:31
A1_4	E3	21	bact_pred_strep	bact	D	35:09:16	-1.08E-04	34:28:03
A1_4	F3	22	bact_pred_strep	bact	D	36:04:47	-4.59E-05	34:44:23
A1_4	G3	23	bact_pred_strep	bact	D	34:25:27	-2.11E-04	35:04:02
A1_4	H3	24	bact_pred_strep	bact	D	24:18:20	4.97E-04	31:52:06
A1_4	A4	25	bact_pred_strep	bact	D	11:52:11	1.95E-04	19:18:26
A1_4	B4	26	bact_pred_strep	bact	D	-5.98E-04	46:15:42
A1_4	C4	27	bact_pred_strep	bact	D	37:06:36	8.50E-04	43:18:43
A1_4	D4	28	bact_pred_strep	bact	D	33:35:39	1.35E-03	37:02:25
A1_4	E4	29	bact_pred_strep	bact	D	26:36:08	5.18E-04	32:20:27
A1_4	F4	30	bact_pred_strep	bact	D	35:29:07	-1.20E-04	34:56:39
A1_4	G4	31	bact_pred_strep	bact	D	34:36:45	-1.80E-04	35:09:37
A1_4	H4	32	bact_pred_strep	bact	D	00:39:01	2.77E-04	03:25:00
A1_4	A5	1	bact_pred_strep	bact_pred	C	22:23:57	1.09E-03	25:46:58
A1_4	B5	2	bact_pred_strep	bact_pred	C	17:19:38	9.51E-04	32:20:18
A1_4	C5	3	bact_pred_strep	bact_pred	C	33:22:50	-3.00E-03	30:29:47
A1_4	D5	4	bact_pred_strep	bact_pred	C	15:17:23	9.13E-04	27:03:34
A1_4	E5	5	bact_pred_strep	bact_pred	C	35:05:00	-1.40E-04	34:42:19
A1_4	F5	6	bact_pred_strep	bact_pred	C	07:04:48	1.01E-03	10:34:57
A1_4	G5	7	bact_pred_strep	bact_pred	C	47:51:27	-2.92E-03	43:53:50
A1_4	H5	8	bact_pred_strep	bact_pred	C	06:37:29	1.11E-03	10:22:54
A1_4	A6	9	bact_pred_strep	bact_pred	C	06:38:25	1.17E-03	09:54:22
A1_4	B6	10	bact_pred_strep	bact_pred	C	20:32:39	1.03E-03	32:19:03
A1_4	C6	11	bact_pred_strep	bact_pred	C	43:06:09	-2.31E-03	39:00:58
A1_4	D6	12	bact_pred_strep	bact_pred	C	-7.92E-04	36:50:57
A1_4	E6	13	bact_pred_strep	bact_pred	C	18:52:48	9.34E-04	29:56:38
A1_4	F6	14	bact_pred_strep	bact_pred	C	43:26:49	-7.37E-04	39:31:13
A1_4	G6	15	bact_pred_strep	bact_pred	C	-2.57E-03	45:45:54
